Scan;Name;Group;Gender;r1.low;r2.low;f3.low;f4.low;r1.high;r2.high;f3.high;f4.high;dist1;dist2;dist3;dist4
01B;lh_94;sleep;female;903,6;1096,7;952,6;976,7;978,4;1116;996,3;780,9;891,9;1118,9;957,7;1082,1
02B;mc_88;wake;female;819,5;1066;987,3;;783;933,8;1092,5;;980,8;1054,8;1080,2;1103,3
03B;ip_89;sleep;female;1565,5;1771,8;1791,7;;1353,7;1720,1;1955,2;;1536,3;2000,6;1663;2004,1
05B;sb_81;sleep;male;824,7;1056,1;1054;;875,9;909,9;949,5;1200,8;924,9;896,7;994,5;1168,7
06B;sv_84;wake;male;856,1;856,1;871,4;795,4;784,2;794,2;817,1;776;818,8;852,2;826,9;770,6
07B;rp_94;wake;female;1374,4;1590;1505,6;1654,6;1493,4;1811,1;1483,8;;1579;2045,5;1671,9;1439,5
08B;am_91;wake;female;804,4;806,5;762,9;922,1;759,9;922,5;830,1;710,3;789,7;836,2;820,9;716,4
09B;mm_89;wake;male;974,3;1343,8;1215,1;;1080,6;1218,8;1345,8;1140,7;1044;1430,2;1319,7;1262,9
12B;sj_92;wake;male;683,6;;;782,7;710,4;;;730,1;693,5;;;726,2
13B;kw_88;wake;female;742,1;1264,2;965,2;;718,6;1149,1;954,3;;801,5;1061,5;878,8;904,9
14B;mk_93;wake;male;1064,4;1340,5;1615,4;;947,5;1582,6;1297;;1036,6;1630,9;1575,9;2063,5
15B;rs_92;wake;female;829,3;917,9;807,1;876,3;775,8;852,2;800,7;807,7;718,1;892,3;859,3;762
16B;sd_88;sleep;female;841,3;922;833;844,5;888,5;859,5;892,3;801,9;748,5;872,5;874,4;874,2
17B;mg_88;sleep;female;1205,5;2172,3;2050,9;;1296,6;2166,2;2867,7;;1278;2284,8;2090,6;1737,9
18B;fl_93;sleep;female;759,8;754,3;864,7;772,3;729;;;809,2;787;892,2;821,6;831
19B;nk_86;sleep;female;869,2;;826,3;692,1;831,3;1078,6;851,9;880,5;854,8;1018;740,6;870,4
22B;mp_85;sleep;male;877,7;871,8;1117,8;1076;862,5;959,8;966,8;1084,4;823,1;1057,4;1147,4;1039,4
23B;tl_86;sleep;male;907,3;881,2;881,9;;939,2;1001,3;833,3;;938,2;956,3;893;
24B;jd_90;sleep;male;801,7;912,6;857,2;795,6;808,7;837,2;895,2;844,4;861;911;822,7;812,3
25B;mn_88;wake;female;935,6;1594,3;1713,5;1089,2;993,7;1656,8;1897,9;1373,7;879;1786;1563,5;1363,3
26B;as_89;wake;female;726,9;854,6;769,2;827,7;776,4;880;915,4;746,1;787;814,5;782,3;736,5
27B;mb_92;sleep;male;832,9;1304,6;1338,8;1639,3;885,7;1112,7;1743,4;;833,1;1341,9;1183,1;1076,1
28B;ag_90;sleep;female;758,5;1035,3;1034,7;;743,2;988,6;1139,8;1232,2;783,8;999,3;1098,7;872,4
29B;hl_87;sleep;male;731,9;1108,7;892,3;704,6;780,2;952,2;829,5;;830,6;851,8;885,4;976
30B;dd_89;sleep;male;1149,7;1504,2;1508;1504,5;1135,1;1377,7;1538,5;;1311,9;1525,2;1534,6;1584,6
31B;or_88;wake;female;711,2;854,1;690,3;706,7;649,1;843,5;806;814,4;692,6;716,2;732;721
32B;js_86;wake;female;954,1;2070,7;1579,4;975,2;938;1353;1155,1;;783,9;1112,9;1228,4;1065,8
33B;ps_89;sleep;male;1319,1;2030,6;1849,6;1839,2;1241;2168;1698;2511,1;1285,9;2132;1896,9;2157,2
34B;bh_85;sleep;male;762,5;920,1;771,4;1167,2;792,8;812,6;956,7;948,3;747,4;783,8;848,3;942,2
35B;jr_90;wake;male;898;1058,3;1469,3;949,7;863,1;1236,2;857,9;1093,8;924,2;1161,3;1154,4;997,9
36B;jm_91;wake;male;754,4;;912;1052,5;793,5;817,1;;;818,3;1026,7;1070,7;1155,2
38B;sw_91;sleep;female;772,8;816,1;752;853,2;757,3;855,6;848,6;824,8;728,5;856;826,9;878,1
39B;nt_89;sleep;female;760,9;825,2;763,4;832,6;722,8;838,2;808,1;;761,1;914,7;890,8;899,7
40B;ms_90;wake;male;1400,6;1972,3;2034,6;;1295,7;1924,8;2301,9;;1422,4;2430;2317,2;2328,4
41B;dl_91;wake;male;714,4;911,4;815,3;721;740,2;883,1;737,1;850,1;752;762,7;848,2;878,3
42B;hd_87;wake;male;1312,6;;1059;1366,3;1093,7;1047,2;1510,9;1783,3;1359,1;;1524,7;1847,6
43B;ds_92;wake;male;1301,8;1591,7;1314,9;1008,5;1255,3;1431,9;2042,2;890,4;1359,8;1415,7;1409,7;1503,2
44B;jf_92;wake;female;712,4;845,3;895,9;739,8;742,7;854;888,7;710,7;744,7;836,2;792,7;789
46B;fs_86;wake;male;849,5;919,6;1074,5;811,2;876;1002,2;857;867,2;907,5;1146,9;1012,5;903,3
